transaction_id,from_account_id,to_account_id,amount,currency,transaction_date,transaction_time,type,status,description
T000001,A00001,A00003,250.00,USD,2023-01-05,09:15:23,Transfer,Completed,Payment for services
T000002,A00004,A00010,1500.00,USD,2023-01-05,10:32:45,Transfer,Completed,Investment transfer
T000003,A00005,A00007,750.50,USD,2023-01-06,14:22:11,Transfer,Completed,Rent payment
T000004,A00008,A00012,320.75,USD,2023-01-06,16:45:33,Transfer,Completed,Utility bill
T000005,A00009,A00015,4200.00,USD,2023-01-07,11:18:52,Transfer,Completed,Contract payment
T000006,A00011,A00019,185.30,USD,2023-01-08,13:27:14,Transfer,Completed,Grocery shopping
T000007,A00013,A00021,925.00,USD,2023-01-08,15:42:08,Transfer,Completed,Car payment
T000008,A00016,A00024,560.25,USD,2023-01-09,09:55:41,Transfer,Completed,Insurance premium
T000009,A00017,A00028,1800.00,USD,2023-01-10,12:33:19,Transfer,Completed,Tuition payment
T000010,A00020,A00032,445.80,USD,2023-01-10,14:17:55,Transfer,Completed,Medical expenses
T000011,A00022,A00026,3500.00,USD,2023-01-11,10:44:27,Transfer,Completed,Business invoice
T000012,A00023,A00029,275.60,USD,2023-01-12,11:29:38,Transfer,Completed,Restaurant bill
T000013,A00025,A00033,690.00,USD,2023-01-12,15:51:22,Transfer,Completed,Phone bill
T000014,A00027,A00035,1250.75,USD,2023-01-13,09:38:44,Transfer,Completed,Consulting fee
T000015,A00030,A00038,820.40,USD,2023-01-14,13:22:56,Transfer,Completed,Internet service
T000016,A00031,A00041,5600.00,USD,2023-01-14,16:08:33,Transfer,Completed,Property tax
T000017,A00034,A00045,340.20,USD,2023-01-15,10:15:41,Transfer,Completed,Gas bill
T000018,A00036,A00049,1750.50,USD,2023-01-16,12:44:18,Transfer,Completed,Legal fees
T000019,A00039,A00053,925.30,USD,2023-01-16,14:31:27,Transfer,Completed,Home repair
T000020,A00042,A00057,2100.00,USD,2023-01-17,09:52:35,Transfer,Completed,Quarterly tax
T000021,A00046,A00061,485.75,USD,2023-01-18,11:25:49,Transfer,Completed,Gym membership
T000022,A00047,A00063,3200.00,USD,2023-01-18,15:17:22,Transfer,Completed,Equipment purchase
T000023,A00050,A00067,670.85,USD,2023-01-19,10:33:56,Transfer,Completed,Software subscription
T000024,A00054,A00071,1450.00,USD,2023-01-20,13:48:14,Transfer,Completed,Loan repayment
